Date,Power_kW,temp_C,HR,Hour,Weekday,Month,Cluster
2017-01-01,74.897706,8.72,74.6,0,6,1,0
2017-01-01,75.17355649999998,8.21,75.0,1,6,1,0
2017-01-01,74.2081752,7.58,79.2,2,6,1,0
2017-01-01,73.7358886,6.968,81.2,3,6,1,0
2017-01-01,75.1023508,6.7970000000000015,80.8,4,6,1,0
2017-01-01,75.7873,6.1610000000000005,81.7,5,6,1,0
2017-01-01,77.6023772,5.8020000000000005,80.5,6,6,1,0
2017-01-01,78.4381374,5.525,80.5,7,6,1,0
2017-01-01,79.3300222,5.3870000000000005,80.6,8,6,1,0
2017-01-01,79.1734842,5.407,80.6,9,6,1,0
2017-01-01,79.9118854,5.62,80.5,10,6,1,0
2017-01-01,79.9960723,6.206,78.4,11,6,1,0
2017-01-01,78.9804843,7.25,75.1,12,6,1,2
2017-01-01,80.4000167,7.82,76.1,13,6,1,0
2017-01-01,82.9294417,9.28,71.5,14,6,1,0
2017-01-01,84.2287071,10.1,68.96,15,6,1,0
2017-01-01,84.272805,9.78,71.8,16,6,1,0
2017-01-01,85.5831426,9.26,75.1,17,6,1,0
2017-01-01,85.15858100000001,8.87,76.6,18,6,1,0
2017-01-01,86.1590879,8.9,75.8,19,6,1,0
2017-01-01,87.6857152,9.26,76.1,20,6,1,0
2017-01-01,86.0090405,9.21,77.8,21,6,1,0
2017-01-01,87.44747199999998,9.51,78.0,22,6,1,0
2017-01-01,88.2941135,10.09,78.4,23,6,1,0
2017-01-02,87.3963108,9.64,81.4,0,0,1,0
2017-01-02,89.1758806,9.57,84.7,1,0,1,0
2017-01-02,88.1238307,9.97,85.2,2,0,1,0
2017-01-02,87.7779199,9.8,86.1,3,0,1,0
2017-01-02,87.1412684,9.83,87.3,4,0,1,0
2017-01-02,96.3670836,9.84,86.2,5,0,1,0
2017-01-02,109.7333289,10.43,82.8,6,0,1,0
2017-01-02,179.4389367,10.39,82.2,7,0,1,0
2017-01-02,278.7035005,10.16,81.8,8,0,1,0
2017-01-02,300.0487931,10.15,80.1,9,0,1,0
2017-01-02,329.3708422,10.75,78.2,10,0,1,0
2017-01-02,355.2124025,11.21,76.7,11,0,1,0
2017-01-02,373.9417924,12.36,73.3,12,0,1,0
2017-01-02,361.8446503,12.86,73.2,13,0,1,0
2017-01-02,354.1196909,13.96,68.63,14,0,1,0
2017-01-02,354.5873959,12.69,79.6,15,0,1,0
2017-01-02,347.5905291,13.42,75.4,16,0,1,0
2017-01-02,315.1220662,13.11,78.0,17,0,1,0
2017-01-02,268.6617787,13.99,75.0,18,0,1,0
2017-01-02,183.7777119,13.49,78.5,19,0,1,0
2017-01-02,160.701529,13.65,79.2,20,0,1,0
2017-01-02,136.6553832,13.26,83.8,21,0,1,0
2017-01-02,133.1861575,13.71,81.9,22,0,1,0
2017-01-02,129.418746,14.06,84.6,23,0,1,0
2017-01-03,128.49192649999998,14.36,83.0,0,1,1,0
2017-01-03,122.64924109999998,14.24,83.8,1,1,1,0
2017-01-03,121.5198767,14.32,83.8,2,1,1,0
2017-01-03,120.8690986,12.83,87.8,3,1,1,0
2017-01-03,119.5690696,13.97,88.8,4,1,1,0
2017-01-03,124.449619,14.77,85.5,5,1,1,0
2017-01-03,135.9032372,14.86,84.5,6,1,1,0
2017-01-03,186.6402574,14.85,83.9,7,1,1,0
2017-01-03,288.85842599999995,14.99,84.6,8,1,1,0
2017-01-03,333.298037,15.13,83.3,9,1,1,0
2017-01-03,371.8474285,15.64,81.7,10,1,1,2
2017-01-03,348.5484653,15.86,78.6,11,1,1,2
2017-01-03,347.6258456000001,16.08,74.0,12,1,1,2
2017-01-03,335.241399,16.5,70.1,13,1,1,2
2017-01-03,341.1354365,16.48,74.4,14,1,1,2
2017-01-03,342.6078482,16.33,71.0,15,1,1,2
2017-01-03,336.0174075,16.05,67.79,16,1,1,0
2017-01-03,303.4074877,15.34,75.2,17,1,1,0
2017-01-03,251.3001873,15.28,76.6,18,1,1,0
2017-01-03,178.63944750000005,15.02,80.7,19,1,1,0
2017-01-03,145.4654182,15.05,82.7,20,1,1,0
2017-01-03,118.8631214,14.99,82.4,21,1,1,0
2017-01-03,111.3487247,15.02,82.0,22,1,1,0
2017-01-03,110.5564897,14.94,82.4,23,1,1,0
2017-01-04,107.4486377,14.35,84.6,0,2,1,0
2017-01-04,96.9098123,13.26,87.9,1,2,1,0
2017-01-04,95.7558218,13.06,89.5,2,2,1,0
2017-01-04,95.2963255,12.44,90.2,3,2,1,0
2017-01-04,93.7840157,11.74,91.1,4,2,1,0
2017-01-04,95.5133788,11.67,91.4,5,2,1,0
2017-01-04,114.30309309999998,11.56,91.5,6,2,1,0
2017-01-04,187.3681591,11.58,91.7,7,2,1,0
2017-01-04,295.4337856,11.46,91.9,8,2,1,0
2017-01-04,327.8247431000001,11.43,92.0,9,2,1,0
2017-01-04,356.0218185,11.82,91.9,10,2,1,0
2017-01-04,362.9083451,11.91,91.8,11,2,1,2
2017-01-04,352.1601024,12.84,90.9,12,2,1,2
2017-01-04,352.8139349,13.81,85.3,13,2,1,2
