Date,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_day,Hour,Weekday,Month
2017-01-01 00:00:00,74.897706,8.72,74.6,2.138,3.774,1029,1.163,0.0,0,6,1
2017-01-01 01:00:00,75.17355649999998,8.21,75.0,2.0340000000000003,3.2710000000000004,1029,1.357,0.0,1,6,1
2017-01-01 02:00:00,74.2081752,7.58,79.2,3.04,3.522,1028,2.604,0.0,2,6,1
2017-01-01 03:00:00,73.7358886,6.968,81.2,4.046,5.032,1028,1.44,0.0,3,6,1
2017-01-01 04:00:00,75.1023508,6.7970000000000015,80.8,3.522,4.277,1028,1.773,0.0,4,6,1
2017-01-01 05:00:00,75.7873,6.1610000000000005,81.7,5.22,7.04,1028,0.388,0.0,5,6,1
2017-01-01 06:00:00,77.6023772,5.8020000000000005,80.5,4.864,6.541,1027,0.997,0.0,6,6,1
2017-01-01 07:00:00,78.4381374,5.525,80.5,3.564,5.283,1027,1.1909999999999998,0.0,7,6,1
2017-01-01 08:00:00,79.3300222,5.3870000000000005,80.6,2.222,3.019,1027,4.627,0.0,8,6,1
2017-01-01 09:00:00,79.1734842,5.407,80.6,2.809,4.025,1027,38.79,0.0,9,6,1
2017-01-01 10:00:00,79.9118854,5.62,80.5,4.822,6.0379999999999985,1027,176.4,0.0,10,6,1
2017-01-01 11:00:00,79.9960723,6.206,78.4,3.522,4.78,1027,159.3,0.0,11,6,1
2017-01-01 12:00:00,78.9804843,7.25,75.1,3.606,4.277,1026,270.5,0.0,12,6,1
2017-01-01 13:00:00,80.4000167,7.82,76.1,1.824,2.516,1024,208.4,0.0,13,6,1
2017-01-01 14:00:00,82.9294417,9.28,71.5,1.5719999999999998,2.013,1023,186.7,0.0,14,6,1
2017-01-01 15:00:00,84.2287071,10.1,68.96,1.321,1.761,1023,147.7,0.0,15,6,1
2017-01-01 16:00:00,84.272805,9.78,71.8,0.0,0.0,1022,76.4,0.0,16,6,1
2017-01-01 17:00:00,85.5831426,9.26,75.1,1.971,2.516,1022,18.42,0.0,17,6,1
2017-01-01 18:00:00,85.15858100000001,8.87,76.6,2.6,3.019,1022,3.324,0.0,18,6,1
2017-01-01 19:00:00,86.1590879,8.9,75.8,1.761,3.019,1021,0.5539999999999999,0.0,19,6,1
2017-01-01 20:00:00,87.6857152,9.26,76.1,2.5580000000000003,3.2710000000000004,1020,0.997,0.0,20,6,1
2017-01-01 21:00:00,86.0090405,9.21,77.8,0.7340000000000001,1.761,1020,1.4409999999999998,0.0,21,6,1
2017-01-01 22:00:00,87.44747199999998,9.51,78.0,1.321,2.013,1019,1.496,0.0,22,6,1
2017-01-01 23:00:00,88.2941135,10.09,78.4,1.551,2.264,1018,1.745,0.0,23,6,1
2017-01-02 00:00:00,87.3963108,9.64,81.4,1.53,2.516,1018,1.496,0.0,0,0,1
2017-01-02 01:00:00,89.1758806,9.57,84.7,2.7460000000000004,3.2710000000000004,1017,1.136,0.0,1,0,1
2017-01-02 02:00:00,88.1238307,9.97,85.2,4.57,5.032,1015,2.521,0.0,2,0,1
2017-01-02 03:00:00,87.7779199,9.8,86.1,6.017,7.3,1015,1.329,0.0,3,0,1
2017-01-02 04:00:00,87.1412684,9.83,87.3,5.157,7.04,1014,2.52,0.0,4,0,1
2017-01-02 05:00:00,96.3670836,9.84,86.2,5.43,7.8,1014,1.163,0.0,5,0,1
2017-01-02 06:00:00,109.7333289,10.43,82.8,7.23,9.06,1013,1.025,0.0,6,0,1
2017-01-02 07:00:00,179.4389367,10.39,82.2,9.18,12.58,1013,1.08,0.0,7,0,1
2017-01-02 08:00:00,278.7035005,10.16,81.8,8.43,10.82,1013,1.495,0.0,8,0,1
2017-01-02 09:00:00,300.0487931,10.15,80.1,8.05,11.82,1013,31.38,0.0,9,0,1
2017-01-02 10:00:00,329.3708422,10.75,78.2,7.0,8.81,1014,59.38,0.0,10,0,1
2017-01-02 11:00:00,355.2124025,11.21,76.7,7.99,10.06,1014,53.12,0.0,11,0,1
2017-01-02 12:00:00,373.9417924,12.36,73.3,8.68,10.06,1013,107.6,0.0,12,0,1
2017-01-02 13:00:00,361.8446503,12.86,73.2,5.115,6.541,1013,25.12,0.0,13,0,1
2017-01-02 14:00:00,354.1196909,13.96,68.63,5.074,7.55,1012,8.81,0.4,14,0,1
2017-01-02 15:00:00,354.5873959,12.69,79.6,5.891,7.55,1013,22.6,1.4,15,0,1
2017-01-02 16:00:00,347.5905291,13.42,75.4,6.877000000000002,10.31,1012,34.28,2.5,16,0,1
2017-01-02 17:00:00,315.1220662,13.11,78.0,8.91,13.08,1012,3.988,4.0,17,0,1
2017-01-02 18:00:00,268.6617787,13.99,75.0,7.4,10.82,1013,5.567,4.3,18,0,1
2017-01-02 19:00:00,183.7777119,13.49,78.5,8.09,13.08,1014,1.44,4.3,19,0,1
2017-01-02 20:00:00,160.701529,13.65,79.2,7.23,11.07,1015,2.437,5.0,20,0,1
2017-01-02 21:00:00,136.6553832,13.26,83.8,7.95,9.81,1015,1.135,6.6,21,0,1
2017-01-02 22:00:00,133.1861575,13.71,81.9,5.765,7.3,1016,1.883,6.6,22,0,1
2017-01-02 23:00:00,129.418746,14.06,84.6,6.688,12.33,1016,1.4680000000000002,6.9,23,0,1
2017-01-03 00:00:00,128.49192649999998,14.36,83.0,8.11,9.81,1017,2.132,7.2,0,1,1
2017-01-03 01:00:00,122.64924109999998,14.24,83.8,5.744,7.3,1017,4.126,0.1,1,1,1
2017-01-03 02:00:00,121.5198767,14.32,83.8,4.298,5.535,1017,1.634,0.1,2,1,1
2017-01-03 03:00:00,120.8690986,12.83,87.8,5.053,6.792999999999998,1018,2.021,0.4,3,1,1
2017-01-03 04:00:00,119.5690696,13.97,88.8,4.78,6.0379999999999985,1018,0.249,0.6,4,1,1
2017-01-03 05:00:00,124.449619,14.77,85.5,7.84,10.06,1018,0.997,1.1,5,1,1
2017-01-03 06:00:00,135.9032372,14.86,84.5,4.759,5.535,1018,0.443,1.1,6,1,1
2017-01-03 07:00:00,186.6402574,14.85,83.9,4.256,6.0379999999999985,1019,0.0,1.1,7,1,1
2017-01-03 08:00:00,288.85842599999995,14.99,84.6,4.088,5.283,1020,2.298,1.1,8,1,1
2017-01-03 09:00:00,333.298037,15.13,83.3,5.682,6.792999999999998,1021,68.05,1.1,9,1,1
2017-01-03 10:00:00,371.8474285,15.64,81.7,2.264,3.2710000000000004,1022,205.5,1.1,10,1,1
2017-01-03 11:00:00,348.5484653,15.86,78.6,2.495,4.277,1023,156.1,1.1,11,1,1
2017-01-03 12:00:00,347.6258456000001,16.08,74.0,5.912000000000001,6.792999999999998,1023,291.8,1.1,12,1,1
2017-01-03 13:00:00,335.241399,16.5,70.1,6.206,8.81,1022,319.2,1.1,13,1,1
2017-01-03 14:00:00,341.1354365,16.48,74.4,5.409,6.792999999999998,1022,247.0,1.1,14,1,1
2017-01-03 15:00:00,342.6078482,16.33,71.0,6.352,7.3,1023,195.3,1.1,15,1,1
2017-01-03 16:00:00,336.0174075,16.05,67.79,6.751,8.55,1023,105.7,1.1,16,1,1
2017-01-03 17:00:00,303.4074877,15.34,75.2,6.394,7.04,1024,29.18,1.1,17,1,1
2017-01-03 18:00:00,251.3001873,15.28,76.6,3.753,4.277,1024,1.495,1.1,18,1,1
2017-01-03 19:00:00,178.63944750000005,15.02,80.7,1.761,2.767,1025,1.329,1.1,19,1,1
2017-01-03 20:00:00,145.4654182,15.05,82.7,1.1740000000000002,2.264,1025,0.748,1.1,20,1,1
2017-01-03 21:00:00,118.8631214,14.99,82.4,2.809,3.522,1025,0.8029999999999999,1.1,21,1,1
2017-01-03 22:00:00,111.3487247,15.02,82.0,1.384,2.013,1026,0.332,1.1,22,1,1
2017-01-03 23:00:00,110.5564897,14.94,82.4,2.914,4.025,1026,0.748,1.1,23,1,1
